;; Dogra Maatra Helper

;; Automatically fixes some typing mistakes related to vowel maatras.
;; Intended to be used alongside this keyboard layout program:
;; !!!!!!
;; 11 Definitions.

*C1OZ‖𑠬‖SI‖En‖{U+11800}‖dogra letter a - Automatic Replace
*C1OZ‖𑠭‖SI‖En‖{U+11802}‖dogra letter i - Automatic Replace
*C1OZ‖𑠮‖SI‖En‖{U+11803}‖dogra letter ii - Automatic Replace
*C1OZ‖𑠯‖SI‖En‖{U+11804}‖dogra letter u - Automatic Replace
*C1OZ‖𑠰‖SI‖En‖{U+11805}‖dogra letter uu - Automatic Replace
*C1OZ‖𑠳‖SI‖En‖{U+11806}‖dogra letter e - Automatic Replace
*C1OZ‖𑠴‖SI‖En‖{U+11807}‖dogra letter ai - Automatic Replace
*C1OZ‖𑠵‖SI‖En‖{U+11808}‖dogra letter o - Automatic Replace
*C1OZ‖𑠶‖SI‖En‖{U+11809}‖dogra letter au - Automatic Replace
*C1OZ‖𑠱‖SI‖En‖{U+11824}‖dogra letter ra - Automatic Replace
*C1OZ‖𑠲‖SI‖En‖{U+1182B}‖dogra letter rra - Automatic Replace
